3,1677621910892487000,0,CREATE,(pid: 26979), (speed: 1), (recp: [1, 2]), (id: 3),None
3,1677621911894009000,4,RECEIVED,1->3,0
3,1677621912894263000,6,RECEIVED,1->3,1
3,1677621913894834000,8,RECEIVED,1->3,2
3,1677621914895917000,10,RECEIVED,1->3,1
3,1677621915896315000,12,RECEIVED,1->3,2
3,1677621916897473000,18,RECEIVED,1->3,2
3,1677621917898445000,20,RECEIVED,1->3,2
3,1677621918898707000,21,RECEIVED,1->3,2
3,1677621919899386000,26,RECEIVED,1->3,1
3,1677621920900300000,31,RECEIVED,1->3,0
3,1677621921900560000,41,RECEIVED,1->3,0
3,1677621922901326000,46,RECEIVED,1->3,2
3,1677621923901757000,47,RECEIVED,1->3,1
3,1677621924902784000,48,RECEIVED,1->3,0
3,1677621925903619000,58,RECEIVED,1->3,0
3,1677621926904545000,59,INTERNAL,3,5,None
3,1677621927904913000,66,RECEIVED,1->3,0
3,1677621928905681000,71,RECEIVED,1->3,0
3,1677621929906945000,74,RECEIVED,1->3,1
3,1677621930907521000,76,RECEIVED,1->3,2
3,1677621931908439000,77,RECEIVED,1->3,2
3,1677621932909420000,79,RECEIVED,1->3,1
3,1677621933910101000,84,RECEIVED,1->3,1
3,1677621934910698000,90,RECEIVED,1->3,1
3,1677621935910746000,96,RECEIVED,1->3,1
3,1677621936911403000,97,RECEIVED,1->3,1
3,1677621937912068000,102,RECEIVED,1->3,0
3,1677621938912566000,109,RECEIVED,1->3,1
3,1677621939913063000,111,RECEIVED,1->3,0
3,1677621940913751000,112,INTERNAL,3,10,None
3,1677621941914733000,113,INTERNAL,3,9,None
3,1677621942915013000,127,RECEIVED,1->3,1
3,1677621943915414000,128,RECEIVED,1->3,0
3,1677621944915960000,135,RECEIVED,1->3,0
3,1677621945916637000,137,RECEIVED,1->3,1
3,1677621946919782000,140,RECEIVED,1->3,1
3,1677621947919163000,142,RECEIVED,1->3,0
3,1677621948919339000,143,INTERNAL,3,6,None
3,1677621949919717000,154,RECEIVED,1->3,0
3,1677621950921311000,160,RECEIVED,1->3,0
3,1677621951921297000,164,RECEIVED,1->3,0
3,1677621952921359000,165,INTERNAL,3,7,None
3,1677621953921623000,166,SEND,3->1,None
3,1677621953921929000,166,SEND,3->2,None
3,1677621954922257000,174,RECEIVED,1->3,1
3,1677621955922645000,175,RECEIVED,1->3,2
3,1677621956923285000,178,RECEIVED,1->3,2
3,1677621957923549000,179,RECEIVED,1->3,2
3,1677621958924003000,183,RECEIVED,1->3,3
3,1677621959924514000,187,RECEIVED,1->3,2
3,1677621960925697000,190,RECEIVED,1->3,2
3,1677621961926469000,192,RECEIVED,1->3,2
3,1677621962927581000,197,RECEIVED,1->3,1
3,1677621963928550000,203,RECEIVED,1->3,0
3,1677621964929200000,204,INTERNAL,3,10,None
3,1677621965930176000,217,RECEIVED,1->3,1
3,1677621966931377000,218,RECEIVED,1->3,1
3,1677621967932194000,223,RECEIVED,1->3,0
3,1677621968932861000,232,RECEIVED,1->3,0
3,1677621969934088000,233,INTERNAL,3,7,None
3,1677621970934809000,240,RECEIVED,1->3,0
3,1677621971935449000,241,SEND,3->1,None
3,1677621972935452000,247,RECEIVED,1->3,0
3,1677621973936307000,248,SEND,3->2,None
3,1677621974936810000,253,RECEIVED,1->3,2
